Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
圓山大飯店,500,11301,0.8072,4093,46251217,61361674,118193501,124,251,137,49,561
The Grand Hotel,,,,,,,,,,,,
國賓大飯店,422,8647,0.7318,3440,29742145,94992247,133054553,119,346,51,88,604
The Ambassador Hotel,,,,,,,,,,,,
台北華國大飯店,326,7208,0.7897,2851,20548952,22297458,45100822,86,72,4,48,210
Imperial Hotel Taipei,,,,,,,,,,,,
華泰王子大飯店,202,4287,0.758,2711,11621579,16101032,30589808,76,91,74,11,252
GLORIA PRINCE HOTEL Taipei,,,,,,,,,,,,
國王大飯店,97,1741,0.641,1590,2769003,720692,3580340,35,12,20,0,67
Emperor Hotel,,,,,,,,,,,,
豪景大酒店,209,4564,0.7799,2349,10719885,3352114,14328038,48,18,16,0,82
Hotel Riverview Taipei,,,,,,,,,,,,
台北凱撒大飯店,478,11393,0.8512,3511,39995136,29945901,74907776,109,123,22,47,301
Caesar Park Taipei,,,,,,,,,,,,
康華大飯店,215,3715,0.6171,2493,9260439,14907937,25251187,58,83,36,0,177
Golden China Hotel,,,,,,,,,,,,
神旺大飯店,268,6674,0.8894,2842,18969800,42305556,66576589,85,222,68,0,375
San Want Hotel,,,,,,,,,,,,
兄弟大飯店,250,4252,0.6074,3421,14547682,60130066,80606677,110,295,72,13,490
Brother Hotel,,,,,,,,,,,,
三德大飯店,284,7187,0.9038,1810,13009592,10501748,25325182,60,66,7,43,176
Santos Hotel,,,,,,,,,,,,
亞都麗緻大飯店,209,2325,0.3973,4251,9883457,14098313,29727999,78,109,30,48,265
The Landis Taipei Hotel,,,,,,,,,,,,
國聯大飯店,243,4359,0.6407,2167,9444330,2023176,12676248,64,32,6,45,147
United Hotel,,,,,,,,,,,,
台北寒舍喜來登大飯店,688,11964,0.6211,4892,58523530,118201381,193970006,201,430,253,33,917
Sheraton Grand Taipei Hotel,,,,,,,,,,,,
老爺大酒店,202,4913,0.8686,4593,22567221,32524904,61747160,79,148,26,46,299
Hotel Royal-Nikko Taipei,,,,,,,,,,,,
福華大飯店,606,8196,0.483,4099,33599000,63862000,115379000,210,312,76,74,672
Howard Plaza Hotel,,,,,,,,,,,,
台北君悅酒店,850,14188,0.5961,5836,82800294,92919150,198491098,132,354,171,73,730
Grand Hyatt Taipei,,,,,,,,,,,,
晶華酒店,538,11253,0.747,5324,59911043,152183436,266673706,295,597,169,21,1082
Regent Taipei,,,,,,,,,,,,
西華大飯店,343,6284,0.6543,4351,27341674,27833509,60867145,116,155,37,78,386
The Sherwood Hotel Taipei,,,,,,,,,,,,
香格里拉台北遠東國際大飯店,420,6174,0.525,6897,42579411,56206883,113517100,159,223,69,82,533
"Shangri-La's Far Eastern Plaza Hotel, Taipei",,,,,,,,,,,,
台北威斯汀六福皇宮,288,5081,0.6301,5711,29019249,62853668,100933243,124,327,198,0,649
The Westin Taipei,,,,,,,,,,,,
美麗信花園酒店,203,4647,0.8176,2150,9989154,5553363,21123453,82,66,33,0,181
Miramar Garden Taipei,,,,,,,,,,,,
台北寒舍艾美酒店,160,3257,0.727,8540,27814736,58776336,100368808,100,253,0,104,457
Le Meridien Taipei Hotel,,,,,,,,,,,,
台北W飯店,405,8378,0.7388,8347,69929553,50389591,135498387,158,195,105,0,458
W Taipei,,,,,,,,,,,,
台北萬豪酒店,318,5630,0.6323,5734,32281556,61768179,116845949,142,311,93,0,546
Taipei Marriott Hotel,,,,,,,,,,,,
台北美福大飯店,146,1778,0.4349,6433,11438209,61357700,79685647,60,261,75,0,396
Grand Mayfull Hotel Taipei,,,,,,,,,,,,
桃禧航空城酒店,187,3198,0.6108,4780,15287995,21152513,38608099,54,72,40,6,172
HOTEL ORCHARD PARK,,,,,,,,,,,,
亞士都飯店,40,366,0.3268,2626,961243,0,961243,13,0,6,0,19
Astar Hotel,,,,,,,,,,,,
第一大飯店,176,3226,0.6546,1715,5532112,3090564,26368634,13,0,19,13,45
First Hotel,,,,,,,,,,,,
六福客棧,226,4658,0.7361,1524,7100518,10561913,18412698,41,63,6,20,130
The Leofoo Hotel,,,,,,,,,,,,
洛碁大飯店花華本館,112,2705,0.8626,1879,5083935,0,5083935,9,0,2,8,19
Flora Hotel Main,,,,,,,,,,,,
歐華酒店,112,1215,0.3874,3304,4014390,5634658,10723414,42,49,30,0,121
The Riviera Hotel,,,,,,,,,,,,
慶泰大飯店,150,2612,0.6219,2812,7345102,9584698,17434912,33,60,31,12,136
Gala Hotel,,,,,,,,,,,,
天成大飯店,225,5716,0.9073,3277,18728525,34615703,56455961,86,128,50,64,328
Cosmos Hotel TAIPEI,,,,,,,,,,,,
福容大飯店 台北一館,120,1803,0.5366,3204,5777642,13011498,20279332,38,73,6,9,126
"Fullon Hotel Taipei,Central",,,,,,,,,,,,
首都大飯店,100,2307,0.8239,3047,7028926,4004446,11144051,30,36,50,0,116
Capital Hotel,,,,,,,,,,,,
台北君品大酒店,286,6317,0.7888,4496,28401606,41015388,72649346,117,172,69,0,358
Palais De Chine Hotel Taipei,,,,,,,,,,,,
台北花園大酒店,241,6144,0.9105,2284,14032754,24764904,43567396,68,110,25,28,231
Taipei Garden Hotel,,,,,,,,,,,,
日勝生加賀屋國際溫泉飯店,90,2020,0.8016,8163,16489520,15740687,42363998,80,56,33,13,182
Radium-Kagaya,,,,,,,,,,,,
北投麗禧溫泉酒店,66,1534,0.8301,15495,23769609,12130623,44327893,37,70,3,71,181
Grand View Resort,,,,,,,,,,,,
寒舍艾麗酒店,232,4486,0.6906,5978,26816068,21837016,53677093,87,117,60,0,264
Humble House Hotel Taipei,,,,,,,,,,,,
北投老爺酒店,50,1052,0.7514,7148,7519254,3250060,12113893,24,30,16,21,91
Hotel Royal Beitou,,,,,,,,,,,,
台北有園飯店,56,1153,0.7353,2698,3111021,230969,3419522,10,6,8,0,24
U HOTEL TAIPEI,,,,,,,,,,,,
量子酒店,101,1884,0.6662,3762,7088531,4343718,12623235,33,34,20,0,87
S Hotel,,,,,,,,,,,,
台北中山雅樂軒酒店,88,1816,0.737,3825,6946765,634330,8424174,19,13,16,4,52
Aloft Taipei Zhongshan,,,,,,,,,,,,
